frame,x,y
162,61,258
163,87,237
164,110,218
165,133,201
166,156,187
167,177,176
168,200,167
169,221,162
170,243,157
171,265,156
172,285,158
173,308,162
174,328,168
175,349,178
176,370,190
177,391,205
178,411,222
179,432,242
180,454,265
181,477,294
182,500,326
183,523,360
184,546,401
185,551,416
186,545,414
187,542,415
188,543,414
189,542,414
190,542,414
191,542,414
192,542,415
193,546,415
194,546,415
195,546,415
196,546,415
197,546,415
198,546,415
199,545,415
200,543,416
201,544,415
202,545,416
203,544,416
204,544,415
205,544,416
206,543,417
207,543,416
208,544,415
209,544,416
210,545,416
211,544,416
212,543,416
213,545,416
214,545,416
215,546,415
216,545,415
217,545,415
218,544,415
219,545,416
220,545,415
221,545,415
222,546,415
223,545,416
224,545,416
225,545,416
226,544,416
227,545,415
228,545,416
229,545,417
230,545,417
231,546,417
232,545,418
233,545,417
234,545,418
235,546,416
236,547,418
237,546,418
238,546,417
239,546,418
240,545,418
241,545,418
242,545,418
243,545,418
244,545,418
245,545,417
246,546,417
247,545,417
248,545,417
249,546,416
250,545,416
251,545,417
252,545,416
253,544,416
254,544,416
255,544,416
256,544,416
257,546,416
258,546,416
259,546,417
260,546,417
261,546,417
262,546,417
263,546,416
264,547,416
265,546,416
266,546,417
267,546,417
268,546,417
269,546,417
270,545,416
271,545,416
272,544,416
273,543,416
274,545,417
275,546,416
276,545,417
277,545,416
278,545,416
279,545,415
280,545,416
281,545,416
282,545,415
283,545,416
284,545,415
285,545,416
286,545,415
287,545,416
288,545,415
289,545,416
290,546,415
291,545,416
292,545,417
